medallion,hack_license,date,payment_type,fare_amount,tip_amount,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
0A72CCB7739854D1C02CCD418773E7F0,804B5CECCFF6E6C24AFB5D348FCECBB1,2013-11-01,CRD,13.5,2,40.77932,-73.95578,40.763344,-73.967285
7A69E35CB830CACE1D5664239386F42C,D4300F675FC28E87B8DFC867C4BD2E65,2013-05-03,CRD,12.5,2.6,40.764679,-73.978439,40.777004,-73.977684
442E7A6E22CD3FBE221E44D28FE4F010,FF69E2FA1988297D5081F0381C1845FF,2013-08-10,CRD,7.5,1.6,40.749954,-73.992172,40.744553,-73.99675
C6EC85D55BE7FE927DF8784056039341,0807E63B4EB0C9981E0ED3C1033F322B,2013-06-03,CRD,9.5,2.1,40.689701,-73.992111,40.679295,-74.007156
11255D0D604A3A006072C57DE81D7ED2,94FC7FEE99E870C6070A1C9D243B870E,2013-02-22,CRD,9,1,40.787735,-73.978653,40.805321,-73.96579
A7C76FF488E0BCCABEABC173FB8FB5DB,AEF09F1C41CD703EA50FD5C27EF46876,2013-05-24,CSH,4.5,0,40.769375,-73.965317,40.763699,-73.967133
26A1BAACBEDDFF0733FDAFEA52561C5D,E6FB66A6D43437C014E813564C6B9FBB,2013-03-08,CSH,4,0,40.769142,-73.862709,40.762295,-73.982079
E21D302C8F9C748BC3AFCEDE461EE2A5,10F79B447AF84B032839C956277C76AB,2013-10-10,CRD,9,1,40.74831,-73.977127,40.751053,-73.990913
220B7B6333A7EBF2119BAF0CCCB033BA,BE4A32AB4417F699663FE0FB60334C8F,2013-12-21,CRD,9.5,1.9,40.682724,-73.976318,40.742664,-73.917915
11255D0D604A3A006072C57DE81D7ED2,94FC7FEE99E870C6070A1C9D243B870E,2013-04-01,CRD,10.5,2.1,40.761139,-73.966682,40.792332,-73.938515
11255D0D604A3A006072C57DE81D7ED2,94FC7FEE99E870C6070A1C9D243B870E,2013-03-31,CSH,34.5,0,40.776482,-73.948334,40.733841,-73.99176
924E0975378E954239997200CB72B450,94BB6E1DCB580E1D75CB0D2FFD605B91,2013-12-04,CRD,11,1.5,40.724407,-73.993202,40.748741,-73.984833
D4736D957467F1E98399834728B57A0D,A52BC9D17D265F8ADB7B1C887357F136,2013-02-23,CSH,15.5,0,40.711113,-73.9655,40.758671,-73.918327
8521BB0C99BD08A01B290EDF6C55B02E,0F09747CA39D1C04C0217954ECD2944D,2013-03-16,CSH,52,0,40.749622,-73.991936,40.751308,-73.978531
C7D8FFD6A1AD364A97844C1B2018100D,8D254EF57883244171677F78B0BD1500,2013-10-11,CSH,8.5,0,40.752102,-73.982384,40.736393,-73.993332
E8D4DBC75C6D57BC7D59611125EAD764,865F52D4110E8EA5C967F7CFC5B64401,2013-07-30,CRD,6,1.5,40.721008,-73.993828,40.723228,-73.9524
BB5C2A4BEC44B1DDF15579EFD0DB6443,A46B5C147F5F3526D4C6164CCC2D606B,2013-06-06,CRD,5.5,1.38,40.750366,-73.991142,40.618481,-73.984436
A876B642408FD97E3859B3578DB964E8,C70960077202554C33CF50DD09097A41,2013-06-07,CRD,9.5,0,40.759373,-73.987022,40.768017,-73.862022
457160226A840C3C2471C96C7E89450A,880B0374F24411C0780824C0EC16851A,2013-07-03,CRD,6.5,1.62,40.74313,-73.991173,40.702297,-74.013763
9F43C6D3C1DABB937550371A9331D33B,569605D17560800FC9CB0F5E34CDE7EB,2013-03-09,CSH,15,0,40.750023,-73.99115,40.74115,-73.952614
26A1BAACBEDDFF0733FDAFEA52561C5D,E6FB66A6D43437C014E813564C6B9FBB,2013-09-08,CSH,25.5,0,40.763168,-73.989342,40.750309,-73.991577
255EA147A9B3996763D54DBA7B50E743,22E788404722476497038D5B3A554903,2013-01-18,CSH,5,0,40.779442,-73.959496,40.775745,-73.960724
8A7B476296423066E8D807C00A5A279C,6968C582D46827AE3B590EEA1BCB15AF,2013-07-09,CRD,5.5,1,40.726418,-73.904716,40.760082,-73.984154
826B5B29ABAF28C2DA0CB123D77F0B3D,C981BF8CD724DB2F1E08A10E6FE27088,2013-07-26,CSH,8,0,40.768471,-73.95871,40.763348,-73.973656
C6EC85D55BE7FE927DF8784056039341,0807E63B4EB0C9981E0ED3C1033F322B,2013-02-19,CRD,5.5,1,40.773998,-73.873154,40.859314,-73.92878
67B44A9A749E0712A0828BEC6D2A18C8,EE859FD5B8996BD966326D904E043771,2013-07-01,CRD,7.5,1.6,40.756813,-73.990623,40.758984,-73.982101
3C7D5F9AFFC4A013B4D9AE151224D74F,CFD973166B3D71A0A921F82621348B6A,2013-01-07,CSH,4.5,0,40.758705,-73.965843,40.752731,-73.978134
2C4A3777C85738EDB3B899B244084DB0,BFB8B9EC5F60A0B89602FCFB3A84E8A9,2013-12-15,CSH,22,0,40.758862,-73.981796,40.7617,-73.967239
A7C76FF488E0BCCABEABC173FB8FB5DB,AEF09F1C41CD703EA50FD5C27EF46876,2013-10-23,CRD,9,1.9,40.764542,-73.977318,40.779526,-73.981895
7D9F519277EFC47748CB4C3563BC9D43,78E7F3563A36357EA0BA522ED069E962,2013-02-18,CRD,9,2.38,40.7342,-73.986534,40.75914,-73.987869
C025EA1318C2695C100AE127A4DE65B5,D0EF1057EB1BDF5E6B822420E979B6DC,2013-06-17,CRD,6,1.3,40.773125,-73.96666,40.765766,-73.971802
77F408023EE3782362F9105AF553CCE0,EBBECE7AC6EB283C9E717F08FA561EC6,2013-10-03,CSH,16.5,0,40.768791,-73.958649,40.76149,-73.970909
E2052E0B9C4B42D2B3A20E9127EB2820,8505CEE2CDDFEFB16B3EE60992894327,2013-03-05,CRD,22,5.62,40.744606,-73.975922,40.729076,-73.998146
8521BB0C99BD08A01B290EDF6C55B02E,0F09747CA39D1C04C0217954ECD2944D,2013-07-08,CRD,9.5,2,40.774113,-73.963608,40.717518,-73.944038
FEE62B35C6F24BCFB9B6E5043FDFBDD6,46DF62AC4718C26F71BC0DAC0812C0CB,2013-06-20,CRD,6.5,1.4,40.761166,-73.958481,40.749397,-73.986542
818B2426C5493017D5CFE68EFD34617E,ACECB0B77058B5DF6A3F232C3F8BF32A,2013-02-23,CSH,22,0,40.747375,-73.985573,40.739223,-73.983879
DE97D234E4E67070B6DABFD4E89E947E,478063642A0EE28B0EC5416E18761A1A,2013-06-06,CRD,21,3.3,40.773998,-73.985184,40.801834,-73.964737
114720657D27B772F0BB8F929F1C45BD,30C85745103689BE2AC243008B4D20E6,2013-06-21,CSH,17.5,0,40.751221,-73.967682,40.717422,-73.995232
1DA36A2DB62F1FD6A7A46A5719259236,FF0C06C4F3BCDB7D7AD39FA538AF0A5A,2013-01-22,CRD,22,2,40.708904,-74.007469,40.67767,-73.981888
4C1FCE764ABE7E995320E72C84B3138A,70137452B4020E4464411CE35B3C55D4,2013-02-02,CSH,8,0,40.758308,-73.9925,40.76078,-73.96714
C9196B6E63193C3AFDA9CE058CF8AB11,EDF50E70E3047BFF0659EB9C14AA3C96,2013-11-09,CSH,25,0,40.774441,-73.982315,40.801422,-73.965904
4C1FCE764ABE7E995320E72C84B3138A,70137452B4020E4464411CE35B3C55D4,2013-02-12,CRD,35.5,7.2,40.746544,-73.977676,40.738972,-73.999458
B8A19B0003386C41E2D26C3EB6B1BF30,650BF4F26F59759F8959FCA4A9A93257,2013-06-26,CRD,5,1.1,40.751884,-73.987732,40.746529,-73.98172
1BB00587A20622BD7E103A04B903BB66,3613DC1E028892D9EA32F1814A939F63,2013-06-21,CRD,22.5,0,40.770428,-73.864861,40.707874,-74.006653
818B2426C5493017D5CFE68EFD34617E,ACECB0B77058B5DF6A3F232C3F8BF32A,2013-08-19,CSH,25.5,0,40.758427,-73.979706,40.747265,-73.985558
FA48B4171DF5DAD8991253F81E2BF0FE,4F15BC3B7CBB83057DFA0D2853034BB4,2013-12-24,CRD,18,3.7,40.737442,-73.988495,40.7491,-73.988106
8521BB0C99BD08A01B290EDF6C55B02E,0F09747CA39D1C04C0217954ECD2944D,2013-03-25,CRD,8.5,1.7,40.754601,-73.980118,40.748962,-73.988045
C1E3CC62D54A5726440D44CF64F1F3D2,D51BD17B00E61AB406045DC247CB7338,2013-06-07,CSH,13,0,40.707554,-74.004578,40.734222,-73.99247
08E9F5633328D780CDFA627D8748182A,9495103E286E5235B5FDEA9A985F7D7B,2013-08-31,CRD,25,6,40.786156,-73.945915,40.794956,-73.971581
5E6CD4FACD827EA5EDFEB765BED2EF1B,29897DA8543AF28A86CDFD97594F16D4,2013-09-23,CSH,16,0,40.644058,-73.790016,40.747852,-73.956703
9595288C0CF412BCE5857203D6841A87,D3C55D291DACA10AF60878FECF5942EE,2013-04-25,CRD,11,1.5,40.746025,-73.998337,40.747223,-73.981255
B2795BE861EBC53ADD1AED91AAC7F140,618997BE853A0E76C218EA216E02CECF,2013-12-06,CSH,6,0,0,0,0,0
D796EED505FE96C591232180B593A21B,AE57A5982D629C19D54F8034E4DE40C5,2013-09-14,CSH,13,0,40.763794,-73.982079,40.731106,-74.003113
7C61E7A1F6DC335BB85F9CB256B1DE1F,77A45909304EADDED1FFB51299BBD11D,2013-08-19,CSH,11.5,0,40.750191,-73.99469,40.757217,-73.990089
0E3841C1B577163D9741C5D01354711A,93B02DBF5C3ABB314F58EC697AAD2CE5,2013-12-23,CSH,7.5,0,40.77533,-73.947601,40.777584,-73.978798
7D9F519277EFC47748CB4C3563BC9D43,78E7F3563A36357EA0BA522ED069E962,2013-10-04,CRD,6,1,40.755215,-73.987099,40.755589,-73.974457
7A891113517E79D24A15A22D804F30AD,245B147E0AD3325D4B0DCECF9364058B,2013-02-11,CSH,41,0,40.749542,-73.98793,40.766735,-73.978981
51A32C7DFEAE66C01B83A8498A682699,0D0B06050ACFAD338617C2A1BFC63B41,2013-02-28,CRD,19.5,3.5,40.756313,-73.989296,40.751122,-73.987885
E8AF4605959B2B81BDFAB0E0DB8B4186,7841355D9AC54B186BC590A48BF487BB,2013-02-19,CSH,8,0,40.756123,-73.961678,40.753159,-73.969917
E21D302C8F9C748BC3AFCEDE461EE2A5,10F79B447AF84B032839C956277C76AB,2013-10-23,CSH,10.5,0,40.775887,-73.946854,40.77993,-73.961754
0DB008D5966DB6C95485A6E521B9C1C7,EEF1219CD8FDCF911C2BE72F61F28CFC,2013-09-24,CSH,6,0,40.762066,-73.986847,40.760334,-74.002892
0E3841C1B577163D9741C5D01354711A,93B02DBF5C3ABB314F58EC697AAD2CE5,2013-06-01,CRD,5.5,0.5,40.738503,-73.986351,40.74744,-73.981422
3C2A4F6749071838209309A7A8E1898F,B6E49BE559FFF9B982EA63124592F4E5,2013-03-12,CSH,7,0,40.737755,-73.9879,40.730965,-73.979568
94CEB0C517F6740191D11D192AFFC9F8,C8DCC4AB455C14561279073F4A5D1F75,2013-03-07,CRD,11,2.5,40.740654,-73.998299,40.747913,-74.000504
A876B642408FD97E3859B3578DB964E8,C70960077202554C33CF50DD09097A41,2013-04-05,CRD,25,2,40.723473,-74.003059,40.751884,-73.976883
39A60F14324688F6BB35EE079D492156,DC4C0C159B7F7D45C6D5A472BA57C57A,2013-07-01,CSH,5,0,40.766479,-73.952026,40.759968,-73.966827
756B122A596AC264676498AC73A71587,9DE205B4EC453C5DD21C0BA4F77B910E,2013-09-11,CSH,6,0,40.80209,-73.945396,40.802025,-73.945412
7A891113517E79D24A15A22D804F30AD,245B147E0AD3325D4B0DCECF9364058B,2013-04-08,CRD,8,0,40.746563,-73.983917,40.750141,-73.990921
255EA147A9B3996763D54DBA7B50E743,22E788404722476497038D5B3A554903,2013-02-27,CSH,7.5,0,40.76931,-73.984734,40.744205,-73.997787
924E0975378E954239997200CB72B450,94BB6E1DCB580E1D75CB0D2FFD605B91,2013-05-16,CSH,23,0,40.765472,-73.976288,40.757393,-73.975105
C67E4F9B7A376BBC3228DE494BF000B6,83AD9804A373B417E7E5FD2E3AB70606,2013-04-11,CRD,5,1,40.744781,-73.995102,40.738434,-73.992508
1BB00587A20622BD7E103A04B903BB66,3613DC1E028892D9EA32F1814A939F63,2013-09-30,CRD,10.5,1,40.762138,-73.972366,40.782902,-73.957542
F2E4391C54D6C591768960222E87B517,D7F67398180E9AEE6D0A656CD36930FD,2013-12-16,CRD,7.5,2.25,40.754345,-74.00679,40.784081,-73.980316
4883050E1B70AC55138DB4B04D74E5BC,4328B3B524DF4044FFDC927A7D955A6F,2013-01-22,CSH,8,0,0,0,0,0
0682351DCA46B3F5268509B437245DBF,3249429325671D7724C20E82BA0667AD,2013-04-15,CSH,8.5,0,40.728676,-74.005058,40.757061,-73.977501
2CA5B8E3B692521A8FBEF294388F0914,FE46D8BE090719CD4752CDDA2820B05D,2013-06-04,CSH,13,0,40.769138,-73.960358,40.775684,-73.961914
08E9F5633328D780CDFA627D8748182A,9495103E286E5235B5FDEA9A985F7D7B,2013-10-19,CRD,8.5,1,40.774078,-73.874374,40.764835,-73.978325
E01081D28253BCD018CF265EA16AD141,19C7844C1235497A55B8B593BE795BC1,2013-01-25,CRD,18.5,3.8,0,0,0,0
0A2237223D77AF890AED9B545439A294,DC00F9C1568D6ADC28927A33D4E5738A,2013-12-17,CSH,4,0,0,0,0,0
26A46E117EC751C440FC3D3F027E4B7D,531688FC59E5106FBFD281C8BF328C4F,2013-05-01,CSH,5,0,40.758213,-73.985962,40.783554,-73.950424
0575F6CEBFCDFDC503DDA925EA257CDD,859CD7EBAA4462844E4EF47A007817BF,2013-08-26,CRD,5,1,40.648636,-73.783318,40.719543,-73.964249
11255D0D604A3A006072C57DE81D7ED2,94FC7FEE99E870C6070A1C9D243B870E,2013-12-22,CRD,6.5,1.3,40.707649,-74.00843,40.749187,-73.992279
1FE5ECB5BEC80518C68ADDE7DFEE69C7,E329F35933B0A9B1F14C2E1FD1B7EBF6,2013-04-30,CSH,15,0,40.761723,-73.987953,40.756985,-73.989838
FDC45963A4632CD5C4E187DF13579F5E,D7346CB6A0B3F20DC5A942C646DBFEC0,2013-01-20,CRD,8.5,1.8,40.719303,-73.994026,40.762787,-73.978729
0A2237223D77AF890AED9B545439A294,DC00F9C1568D6ADC28927A33D4E5738A,2013-03-24,CSH,5,0,40.756405,-73.997856,40.774406,-73.872955
09D0AF7E35C3B23060840634792F90F1,84AC43D51409C1E6BC8D8140E5E8345E,2013-07-22,CSH,10,0,40.73122,-73.988632,40.738674,-73.986717
220B7B6333A7EBF2119BAF0CCCB033BA,BE4A32AB4417F699663FE0FB60334C8F,2013-07-07,CRD,7.5,2,40.748875,-73.990204,40.765244,-73.958092
7A891113517E79D24A15A22D804F30AD,245B147E0AD3325D4B0DCECF9364058B,2013-08-17,CSH,55,0,40.743343,-73.994225,40.724537,-73.990562
61CCE02B809181BA274D6861C384074E,39DA6888D43438021FD574D4FA2B640B,2013-03-10,CSH,4.5,0,40.756092,-73.983711,40.748222,-73.98494
BD65BEDF72BB7B711255C9E8A16A4E9B,9FCC284C848669BE471BC31FAA016F67,2013-05-16,CRD,22,2,40.747326,-74.000961,40.742344,-73.981567
8F992E801892B31EC9E7118DCD54056A,980C7AEB3FD36663AB02A5195DC747DC,2013-07-26,CSH,7,0,40.742233,-74.000534,40.728985,-74.005173
12A0B4AE0850B89693607D342D114953,05D75C56B273FB7B9866EE761968E724,2013-06-23,CRD,7,0,40.750286,-73.991524,40.751801,-73.970345
826B5B29ABAF28C2DA0CB123D77F0B3D,C981BF8CD724DB2F1E08A10E6FE27088,2013-05-21,CSH,24,0,40.741451,-74.006844,40.75061,-73.994499
C29EAD3CE55637379E42E4AD9C16A971,763ECB9DA517FDFB1242A4E0FD0FD7E8,2013-05-24,CSH,11.5,0,40.788956,-73.970627,40.797729,-73.96949
2A101E1A7779E9128F399C3EF0338AFF,1EE9CA7FD3DB752701F8700FA82F833B,2013-08-10,CSH,16.5,0,40.75679,-73.985481,40.749985,-73.99131
3FE110D179F3BA5DBA2356305C7A629A,05BF40BF619B29206C6CBADD0CCBE834,2013-01-19,CSH,14.5,0,40.723125,-73.988838,40.721088,-73.99382
457160226A840C3C2471C96C7E89450A,880B0374F24411C0780824C0EC16851A,2013-10-19,CSH,11,0,40.720913,-73.988708,40.79808,-73.940193
7AB9B06837BF31233311F042360B1A82,9E6B7BE743D795C877043D371979C40D,2013-07-24,CRD,3.5,0.8,40.767769,-73.981224,40.758625,-73.970879
09AA25B5E27329C479EF80FD0F3BD87F,DA3B1126617F3CB9BE5F9153C58FDD74,2013-04-05,CSH,8.5,0,40.718311,-73.990692,40.739082,-73.979843
8A7B476296423066E8D807C00A5A279C,6968C582D46827AE3B590EEA1BCB15AF,2013-05-11,CSH,15.5,0,40.766174,-73.952293,40.783718,-73.956772
C7766420CD34F454C298C4F1F2E471AD,B3FAFA63916F7828685025F1814D9C16,2013-10-25,CRD,6.5,1.4,40.771465,-73.96151,40.739906,-73.991211
A7C76FF488E0BCCABEABC173FB8FB5DB,AEF09F1C41CD703EA50FD5C27EF46876,2013-10-24,CSH,26,0,40.705116,-74.007858,40.643303,-73.789879
9DB4AC73150E7F60ED7835C130B8040A,B1E973A019755AB9EBBBB8289C4EA504,2013-09-05,CRD,5,1,40.744701,-73.995338,40.737778,-73.993591
C025EA1318C2695C100AE127A4DE65B5,D0EF1057EB1BDF5E6B822420E979B6DC,2013-05-17,CRD,10,0,40.756386,-73.989571,40.761368,-73.980858
C0A02B17EF710C378A4138B0626010B0,C82D2AC39481995672BF63CA0407F9D6,2013-03-28,CSH,14.5,0,40.754845,-73.99514,40.728897,-74.00518
B8A19B0003386C41E2D26C3EB6B1BF30,650BF4F26F59759F8959FCA4A9A93257,2013-01-03,CSH,9.5,0,40.75573,-73.993645,40.762451,-73.984528
955D682AD8E6911062E6E76945938448,19ECACE907856A0E1451C3F7A9BA4B82,2013-03-12,CSH,7,0,40.743454,-73.999763,40.752537,-73.978607
1BB00587A20622BD7E103A04B903BB66,3613DC1E028892D9EA32F1814A939F63,2013-04-08,CRD,42.5,0,40.734352,-73.999146,40.773598,-73.983322
61CCE02B809181BA274D6861C384074E,39DA6888D43438021FD574D4FA2B640B,2013-06-01,CSH,6,0,40.749485,-73.990356,40.756248,-73.990852
EB378B2D916503E5EF983C53F3D27E34,4F7E17B8A79E2AAED8A2DF1578B660E7,2013-08-01,CRD,7.5,0.5,40.783218,-73.982033,40.80088,-73.957726
BCF07D2F69DB29C27DA7CCF5DE6B4843,0A87955DEBF2CB6BBC96AA8849FBC272,2013-12-21,CRD,107.5,21.6,40.76532,-73.964081,40.762878,-73.967987
FEE62B35C6F24BCFB9B6E5043FDFBDD6,46DF62AC4718C26F71BC0DAC0812C0CB,2013-08-18,CSH,23,0,40.721786,-74.00016,40.716911,-74.004173
7A891113517E79D24A15A22D804F30AD,245B147E0AD3325D4B0DCECF9364058B,2013-08-29,CSH,28.5,0,40.745564,-73.977966,40.735664,-73.979599
BC5DE7E599F39CC43AF3877C436B688E,1AEA9AC5ADEF0534C3DCA79FD0CE8A43,2013-09-28,CRD,19.5,2,40.748367,-73.98909,40.756035,-73.974983
C29EAD3CE55637379E42E4AD9C16A971,763ECB9DA517FDFB1242A4E0FD0FD7E8,2013-11-08,CRD,15.5,2.8,40.752464,-73.975433,40.741436,-73.975189
8521BB0C99BD08A01B290EDF6C55B02E,0F09747CA39D1C04C0217954ECD2944D,2013-10-27,CSH,9,0,40.726925,-74.003731,40.745613,-73.998352
3FE110D179F3BA5DBA2356305C7A629A,05BF40BF619B29206C6CBADD0CCBE834,2013-06-09,CRD,10,0,40.752361,-73.978653,40.747856,-73.980858
95B715EA4F75E724331990880E47CD4C,3DFC5559E9F1604C3549D0B0E635A79B,2013-07-18,CSH,41.5,0,40.742004,-73.977982,40.743031,-73.981308
79AE3535F7A3BB6A85A4864D731FF538,0B573EE0851E4965794364DD91D9B56C,2013-10-20,CRD,17.5,3.6,40.714039,-73.95079,40.721325,-73.940895
BCF07D2F69DB29C27DA7CCF5DE6B4843,0A87955DEBF2CB6BBC96AA8849FBC272,2013-07-06,CRD,19,3,40.679161,-73.995682,40.733498,-73.991219
0A72CCB7739854D1C02CCD418773E7F0,804B5CECCFF6E6C24AFB5D348FCECBB1,2013-06-05,CSH,5,0,40.720692,-74.010124,40.758221,-73.979279
7B1635AADDB360C9C664FE3A900BEF22,C92CAAF98E69809BFCFD380A0B824CC9,2013-11-26,CSH,15.5,0,40.743816,-73.99482,40.820244,-73.954865
D15358FDE0B2CA330A22C88389AAC3A0,D6FDE56227BCBDF00BBFA4C5BB13364A,2013-01-18,CSH,24.5,0,40.789288,-73.954712,40.789959,-73.96611
9F43C6D3C1DABB937550371A9331D33B,569605D17560800FC9CB0F5E34CDE7EB,2013-11-07,CSH,5,0,40.787796,-73.955818,40.760063,-73.976006
7F8CCA7A24BDD43E431D6DD7B64C196E,6E83FC61F7F2A5AB867143AD533F16F3,2013-02-23,CSH,8,0,40.806396,-73.959908,40.775673,-73.983292
849850986EE1C81D0DC1F998267BD0C3,3F784F541D34675089C9E9AB56792814,2013-03-04,CSH,15.5,0,40.749996,-73.971962,40.72604,-73.949791
1A08A75D4F6A3BBD4D950B4926156880,171A8E293E8BD3D8D435BAF75EF0CE6D,2013-10-07,CSH,14.5,0,40.74577,-73.998047,40.761196,-73.990494
BD65BEDF72BB7B711255C9E8A16A4E9B,9FCC284C848669BE471BC31FAA016F67,2013-11-21,CSH,30.5,0,40.77911,-73.962318,40.773785,-73.981895
E2052E0B9C4B42D2B3A20E9127EB2820,8505CEE2CDDFEFB16B3EE60992894327,2013-06-18,CSH,10.5,0,40.750572,-73.989059,40.755997,-73.973686
895B94C2A676652890372A1DA0F5340A,9FBC352C21F1B397C93EF1E2FD0B91BD,2013-09-28,CSH,10,0,40.59893,-73.954796,40.604225,-73.950531
C29EAD3CE55637379E42E4AD9C16A971,763ECB9DA517FDFB1242A4E0FD0FD7E8,2013-03-19,CSH,7,0,40.763561,-73.97345,40.730442,-74.008682
3F20DDBF3AA1B882657E2F1084DA0ECA,B8458B9B535768D4AB269A7DF7FA6BBC,2013-04-27,CSH,9,0,40.76128,-73.980438,40.740143,-73.990608
B2795BE861EBC53ADD1AED91AAC7F140,618997BE853A0E76C218EA216E02CECF,2013-06-24,CRD,13.5,3.38,40.751698,-73.97522,40.75592,-73.986893
C6EC85D55BE7FE927DF8784056039341,0807E63B4EB0C9981E0ED3C1033F322B,2013-06-14,CRD,9,1.8,40.764412,-73.966156,40.792542,-73.973183
002E3B405B6ABEA23B6305D3766140F1,E248DBB940D9155E8BF72F1D8C7EBBEB,2013-11-02,CRD,6,1.2,40.774628,-73.957909,40.764832,-73.961441
D15358FDE0B2CA330A22C88389AAC3A0,D6FDE56227BCBDF00BBFA4C5BB13364A,2013-08-27,CSH,9,0,40.720055,-73.996933,40.693043,-73.993546
3C2A4F6749071838209309A7A8E1898F,B6E49BE559FFF9B982EA63124592F4E5,2013-12-11,CRD,34,6.8,40.730068,-74.000313,40.768406,-73.987373
9595288C0CF412BCE5857203D6841A87,D3C55D291DACA10AF60878FECF5942EE,2013-02-09,CSH,8.5,0,40.720982,-73.997292,40.732376,-74.000443
2CA5B8E3B692521A8FBEF294388F0914,FE46D8BE090719CD4752CDDA2820B05D,2013-08-22,CRD,6,1.2,40.692734,-73.993134,40.720856,-74.010071
0A72CCB7739854D1C02CCD418773E7F0,804B5CECCFF6E6C24AFB5D348FCECBB1,2013-11-09,CSH,4,0,40.756741,-73.966843,40.722713,-73.987885
7D9F519277EFC47748CB4C3563BC9D43,78E7F3563A36357EA0BA522ED069E962,2013-05-31,CSH,8.5,0,40.771442,-73.956451,40.74345,-73.972733
7A891113517E79D24A15A22D804F30AD,245B147E0AD3325D4B0DCECF9364058B,2013-11-06,CRD,4,1.12,40.740772,-74.005455,40.798096,-73.967354
D8CF1B054D38736E4A4CCDADA52D9119,86ECD420D3B13FB442A10F3B386904C6,2013-01-22,CSH,27,0,40.74015,-73.998657,40.763435,-73.98526
