TRACTS,Total population,Hispanic or Latino,"Total population, not Hispanic or Latino",One race total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races
"Census Tract 4105, Alameda County, California",2193,200,1993,2076,188,1384,13,372,4,115,117
"Census Tract 4201, Alameda County, California",2355,205,2150,2197,1550,55,8,511,4,69,158
"Census Tract 4202, Alameda County, California",2898,330,2568,2680,1500,92,6,942,6,134,218
"Census Tract 4203, Alameda County, California",4571,422,4149,4277,2226,183,20,1708,8,132,294
"Census Tract 4204, Alameda County, California",3124,424,2700,2922,1078,121,40,1515,16,152,202
"Census Tract 4205, Alameda County, California",2308,259,2049,2154,1332,99,9,631,3,80,154
"Census Tract 4206, Alameda County, California",3283,251,3032,3065,2442,95,5,483,0,40,218
"Census Tract 4211, Alameda County, California",1992,100,1892,1895,1596,38,2,234,7,18,97
"Census Tract 4212, Alameda County, California",3563,191,3372,3393,2965,73,4,296,5,50,170
"Census Tract 4213, Alameda County, California",3844,202,3642,3642,3142,69,9,372,3,47,202
"Census Tract 4214, Alameda County, California",1593,62,1531,1525,1354,28,4,129,0,10,68
"Census Tract 4215, Alameda County, California",3640,188,3452,3450,3020,60,6,319,0,45,190
"Census Tract 4216, Alameda County, California",3558,188,3370,3365,2872,59,5,368,5,56,193
"Census Tract 4217, Alameda County, California",3198,233,2965,3009,2305,99,16,523,3,63,189
"Census Tract 4218, Alameda County, California",2007,100,1907,1890,1587,59,7,219,0,18,117
"Census Tract 4219, Alameda County, California",3632,331,3301,3386,2475,297,21,503,2,88,246
"Census Tract 4220, Alameda County, California",1756,222,1534,1625,848,504,9,175,5,84,131
"Census Tract 4221, Alameda County, California",2685,761,1924,2486,1225,450,33,339,4,435,199
"Census Tract 4222, Alameda County, California",3144,358,2786,2923,1882,402,11,484,13,131,221
"Census Tract 4223, Alameda County, California",3387,311,3076,3177,2224,196,6,651,3,97,210
"Census Tract 4224, Alameda County, California",4196,343,3853,3985,2324,191,5,1360,2,103,211
"Census Tract 4225, Alameda County, California",4658,323,4335,4380,2889,104,8,1290,13,76,278
"Census Tract 4226, Alameda County, California",1215,141,1074,1137,629,12,2,457,0,37,78
"Census Tract 4227, Alameda County, California",4885,499,4386,4588,2813,127,17,1434,5,192,297
"Census Tract 4228, Alameda County, California",8368,1077,7291,7798,3137,350,42,3749,10,510,570
"Census Tract 4229, Alameda County, California",4336,485,3851,4061,1804,385,11,1607,9,245,275
"Census Tract 4230, Alameda County, California",4396,447,3949,4103,2866,353,23,710,6,145,293
"Census Tract 4231, Alameda County, California",3964,641,3323,3704,2126,712,23,522,19,302,260
"Census Tract 4232, Alameda County, California",2794,887,1907,2589,1170,642,23,251,7,496,205
"Census Tract 4233, Alameda County, California",3647,542,3105,3375,1519,1265,27,322,14,228,272
"Census Tract 4234, Alameda County, California",4685,738,3947,4287,2228,1202,17,514,11,315,398
"Census Tract 4235, Alameda County, California",3118,255,2863,2916,1704,606,17,493,4,92,202
"Census Tract 4236.01, Alameda County, California",2642,203,2439,2501,1934,92,14,385,3,73,141
"Census Tract 4236.02, Alameda County, California",5659,504,5155,5325,2652,141,20,2314,3,195,334
"Census Tract 4237, Alameda County, California",3633,275,3358,3430,2553,81,7,716,4,69,203
"Census Tract 4238, Alameda County, California",2925,128,2797,2809,2549,49,6,182,2,21,116
"Census Tract 4239.01, Alameda County, California",2020,221,1799,1884,1177,427,11,152,2,115,136
"Census Tract 4239.02, Alameda County, California",1552,134,1418,1459,1213,56,6,148,4,32,93
"Census Tract 4240.01, Alameda County, California",3716,750,2966,3456,1472,1181,30,314,11,448,260
"Census Tract 4240.02, Alameda County, California",2172,369,1803,2033,742,931,37,158,7,158,139
"Census Tract 4251.01, Alameda County, California",1596,56,1540,1529,977,98,4,432,2,16,67
"Census Tract 4251.02, Alameda County, California",2807,207,2600,2657,1097,418,9,1062,3,68,150
"Census Tract 4251.03, Alameda County, California",2502,245,2257,2316,1175,444,10,613,2,72,186
"Census Tract 4251.04, Alameda County, California",3175,419,2756,2935,1241,804,21,668,9,192,240
"Census Tract 4261, Alameda County, California",5922,193,5729,5651,4437,75,3,1072,9,55,271
"Census Tract 4262, Alameda County, California",4745,228,4517,4462,3480,69,3,867,4,39,283
"Census Tract 4271, Alameda County, California",3646,340,3306,3405,2656,79,14,530,14,112,241
"Census Tract 4272, Alameda County, California",4107,592,3515,3793,1897,237,31,1397,48,183,314
"Census Tract 4273, Alameda County, California",4896,514,4382,4556,2330,409,36,1595,45,141,340
"Census Tract 4276, Alameda County, California",4722,642,4080,4331,1299,775,41,1901,33,282,391
"Census Tract 4277, Alameda County, California",4866,579,4287,4542,2478,346,36,1445,35,202,324
"Census Tract 4278, Alameda County, California",4640,549,4091,4276,2684,217,22,1157,23,173,364
"Census Tract 4279, Alameda County, California",4567,560,4007,4248,2834,218,24,989,17,166,319
"Census Tract 4280, Alameda County, California",2928,523,2405,2679,1243,230,25,969,11,201,249
"Census Tract 4281, Alameda County, California",4651,619,4032,4290,3032,158,29,927,14,130,361
"Census Tract 4282, Alameda County, California",6259,617,5642,5812,3722,240,20,1649,21,160,447
"Census Tract 4283.01, Alameda County, California",6526,532,5994,6043,2831,229,20,2816,12,135,483
"Census Tract 4283.02, Alameda County, California",7074,385,6689,6713,3372,180,8,3064,15,74,361
"Census Tract 4284, Alameda County, California",4357,578,3779,4071,2345,338,34,1155,18,181,286
"Census Tract 4285, Alameda County, California",3183,297,2886,2951,1592,223,18,983,22,113,232
"Census Tract 4286, Alameda County, California",3271,269,3002,3059,1468,265,10,1229,11,76,212
"Census Tract 4287, Alameda County, California",4119,496,3623,3778,1677,615,58,1252,42,134,341
"Census Tract 4301.01, Alameda County, California",6523,520,6003,6183,2705,274,13,3046,39,106,340
"Census Tract 4301.02, Alameda County, California",2285,234,2051,2145,1672,64,10,332,7,60,140
"Census Tract 4302, Alameda County, California",6916,866,6050,6535,4934,191,28,1110,37,235,381
"Census Tract 4303, Alameda County, California",3670,464,3206,3474,2703,125,15,545,14,72,196
"Census Tract 4304, Alameda County, California",2046,238,1808,1900,1475,64,8,299,1,53,146
"Census Tract 4305, Alameda County, California",6049,1404,4645,5665,2690,1312,36,912,53,662,384
"Census Tract 4306, Alameda County, California",5887,823,5064,5548,3538,250,39,1445,19,257,339
"Census Tract 4307, Alameda County, California",3814,642,3172,3550,2571,119,18,678,18,146,264
"Census Tract 4308, Alameda County, California",5394,1011,4383,5045,3443,182,26,973,30,391,349
"Census Tract 4309, Alameda County, California",4681,1259,3422,4321,2544,441,45,724,80,487,360
"Census Tract 4310, Alameda County, California",2714,616,2098,2525,1543,197,29,516,15,225,189
"Census Tract 4311, Alameda County, California",3225,895,2330,2943,1638,464,21,376,51,393,282
"Census Tract 4312, Alameda County, California",5627,1316,4311,5289,3325,646,42,651,58,567,338
"Census Tract 4321, Alameda County, California",3770,858,2912,3493,2069,538,31,467,13,375,277
"Census Tract 4322, Alameda County, California",4080,1007,3073,3848,2078,857,31,428,14,440,232
"Census Tract 4323, Alameda County, California",4656,1655,3001,4413,1689,506,57,1321,17,823,243
"Census Tract 4324, Alameda County, California",5814,2173,3641,5385,2215,497,36,1518,56,1063,429
"Census Tract 4325.01, Alameda County, California",4839,1762,3077,4618,1597,293,57,1661,52,958,221
"Census Tract 4325.02, Alameda County, California",4485,1443,3042,4260,1046,554,52,1709,37,862,225
"Census Tract 4326, Alameda County, California",6842,2068,4774,6405,2529,1372,58,1362,66,1018,437
"Census Tract 4327, Alameda County, California",2478,526,1952,2339,1423,249,20,413,6,228,139
"Census Tract 4328, Alameda County, California",3729,766,2963,3513,1886,450,19,807,31,320,216
"Census Tract 4330, Alameda County, California",3832,1086,2746,3614,1789,330,23,903,26,543,218
"Census Tract 4331.02, Alameda County, California",3989,1141,2848,3801,1322,392,21,1487,40,539,188
"Census Tract 4331.03, Alameda County, California",3530,1409,2121,3299,921,898,42,581,60,797,231
"Census Tract 4331.04, Alameda County, California",3760,1244,2516,3536,1408,885,35,522,28,658,224
"Census Tract 4332, Alameda County, California",6897,1580,5317,6544,2304,1100,36,2335,36,733,353
"Census Tract 4333, Alameda County, California",6834,1707,5127,6443,2655,264,46,2711,39,728,391
"Census Tract 4334, Alameda County, California",6305,726,5579,6041,1723,650,29,3290,56,293,264
"Census Tract 4335, Alameda County, California",4352,1051,3301,4129,1833,180,50,1602,28,436,223
"Census Tract 4336, Alameda County, California",5978,1394,4584,5658,2049,569,29,2308,40,663,320
"Census Tract 4337, Alameda County, California",3182,1451,1731,2930,1324,375,56,463,45,667,252
"Census Tract 4338, Alameda County, California",7369,2612,4757,6986,2001,1192,64,2081,70,1578,383
"Census Tract 4339, Alameda County, California",6599,3128,3471,6233,1750,1835,71,774,87,1716,366
"Census Tract 4340, Alameda County, California",4884,2236,2648,4571,1653,894,41,740,65,1178,313
"Census Tract 4351.02, Alameda County, California",5179,791,4388,4796,2235,908,17,1262,55,319,383
"Census Tract 4351.03, Alameda County, California",6403,781,5622,5967,2789,507,31,2431,23,186,436
"Census Tract 4351.04, Alameda County, California",5216,1872,3344,4833,1410,1035,27,1116,128,1117,383
"Census Tract 4352, Alameda County, California",4140,909,3231,3772,1616,1071,23,662,53,347,368
"Census Tract 4353, Alameda County, California",4479,1439,3040,4152,1709,1046,52,530,66,749,327
"Census Tract 4354, Alameda County, California",4503,1489,3014,4208,1686,910,59,687,68,798,295
"Census Tract 4355, Alameda County, California",3725,1558,2167,3455,1509,504,104,386,99,853,270
"Census Tract 4356.01, Alameda County, California",4902,2819,2083,4435,1940,633,70,367,96,1329,467
"Census Tract 4356.02, Alameda County, California",5329,2797,2532,5065,2437,552,60,516,108,1392,264
"Census Tract 4357, Alameda County, California",4594,2069,2525,4296,2064,370,35,762,63,1002,298
"Census Tract 4358, Alameda County, California",5382,2039,3343,5026,2356,256,50,1276,46,1042,356
"Census Tract 4359, Alameda County, California",5073,1439,3634,4775,2471,241,30,1393,24,616,298
"Census Tract 4360, Alameda County, California",4557,1827,2730,4259,2460,146,65,745,24,819,298
"Census Tract 4361, Alameda County, California",5261,2111,3150,4899,2277,301,58,1154,58,1051,362
"Census Tract 4362, Alameda County, California",3827,2068,1759,3563,1469,612,27,327,81,1047,264
"Census Tract 4363, Alameda County, California",7129,4016,3113,6529,2325,984,75,964,99,2082,600
"Census Tract 4364.01, Alameda County, California",7042,2014,5028,6506,3357,1080,67,888,160,954,536
"Census Tract 4364.02, Alameda County, California",2618,436,2182,2460,1570,337,24,348,7,174,158
"Census Tract 4365, Alameda County, California",4583,1669,2914,4246,1439,824,38,951,112,882,337
"Census Tract 4366.01, Alameda County, California",6091,3501,2590,5674,2455,768,47,667,190,1547,417
"Census Tract 4366.02, Alameda County, California",4571,2026,2545,4171,1376,775,31,910,156,923,400
"Census Tract 4367, Alameda County, California",3284,1909,1375,3081,1243,291,28,510,64,945,203
"Census Tract 4368, Alameda County, California",4027,1811,2216,3742,1515,568,42,742,130,745,285
"Census Tract 4369, Alameda County, California",6724,4203,2521,6312,2686,543,96,873,144,1970,412
"Census Tract 4370, Alameda County, California",3473,1099,2374,3191,1222,330,55,877,162,545,282
"Census Tract 4371.01, Alameda County, California",6448,1448,5000,6035,1356,409,36,3268,201,765,413
"Census Tract 4371.02, Alameda County, California",4251,1350,2901,3996,1010,429,38,1656,104,759,255
"Census Tract 4372, Alameda County, California",6755,1833,4922,6290,2255,848,126,2110,169,782,465
"Census Tract 4373, Alameda County, California",3111,1101,2010,2865,954,440,25,743,176,527,246
"Census Tract 4374, Alameda County, California",3408,1902,1506,3215,1346,172,41,506,122,1028,193
"Census Tract 4375, Alameda County, California",4528,2705,1823,4187,1559,411,33,480,322,1382,341
"Census Tract 4376, Alameda County, California",3217,1402,1815,2968,1205,283,23,695,135,627,249
"Census Tract 4377.01, Alameda County, California",3649,2023,1626,3355,824,589,37,362,225,1318,294
"Census Tract 4377.02, Alameda County, California",4256,2971,1285,3959,1059,371,53,371,205,1900,297
"Census Tract 4378, Alameda County, California",4621,1739,2882,4304,1363,388,40,1307,267,939,317
"Census Tract 4379, Alameda County, California",2338,1407,931,2173,793,164,29,301,125,761,165
"Census Tract 4380, Alameda County, California",3283,1075,2208,3043,1535,292,33,683,38,462,240
"Census Tract 4381, Alameda County, California",7675,3396,4279,7126,2616,642,66,1735,151,1916,549
"Census Tract 4382.01, Alameda County, California",4540,2337,2203,4248,1641,304,31,889,181,1202,292
"Census Tract 4382.03, Alameda County, California",3920,980,2940,3691,1101,265,20,1644,116,545,229
"Census Tract 4382.04, Alameda County, California",5368,1558,3810,5006,1735,480,43,1663,180,905,362
"Census Tract 4383, Alameda County, California",3731,1654,2077,3437,1033,286,36,1111,241,730,294
"Census Tract 4384, Alameda County, California",2331,762,1569,2197,901,143,19,725,60,349,134
"Census Tract 4401, Alameda County, California",2310,379,1931,2151,974,221,11,767,21,157,159
"Census Tract 4402, Alameda County, California",5989,4448,1541,5697,2369,248,62,845,54,2119,292
"Census Tract 4403.01, Alameda County, California",7312,2522,4790,6809,2221,446,38,2672,95,1337,503
"Census Tract 4403.04, Alameda County, California",4674,599,4075,4341,804,301,28,2919,52,237,333
"Census Tract 4403.05, Alameda County, California",3883,629,3254,3593,860,320,10,2057,92,254,290
"Census Tract 4403.06, Alameda County, California",3841,423,3418,3583,464,356,16,2497,61,189,258
"Census Tract 4403.07, Alameda County, California",4219,877,3342,3979,1534,314,20,1738,51,322,240
"Census Tract 4403.08, Alameda County, California",5883,1899,3984,5491,1712,302,26,2454,103,894,392
"Census Tract 4403.31, Alameda County, California",3205,591,2614,2984,534,247,20,1805,76,302,221
"Census Tract 4403.32, Alameda County, California",3310,207,3103,3141,364,126,2,2548,32,69,169
"Census Tract 4403.33, Alameda County, California",2839,224,2615,2671,361,165,3,2032,27,83,168
"Census Tract 4403.34, Alameda County, California",4016,657,3359,3732,839,302,13,2244,59,275,284
"Census Tract 4403.35, Alameda County, California",6496,551,5945,6052,946,321,9,4486,49,241,444
"Census Tract 4403.36, Alameda County, California",4459,1065,3394,4127,1267,362,42,1966,62,428,332
"Census Tract 4411, Alameda County, California",4308,728,3580,4017,2498,142,36,1115,20,206,291
"Census Tract 4412, Alameda County, California",6816,1135,5681,6362,3527,177,37,2203,36,382,454
"Census Tract 4413.01, Alameda County, California",3179,305,2874,2955,954,137,10,1713,33,108,224
"Census Tract 4413.02, Alameda County, California",5553,858,4695,5115,2259,211,19,2238,61,327,438
"Census Tract 4414.01, Alameda County, California",6931,1049,5882,6473,2100,388,24,3493,52,416,458
"Census Tract 4414.02, Alameda County, California",5233,584,4649,4783,1710,183,23,2665,29,173,450
"Census Tract 4415.01, Alameda County, California",6068,406,5662,5607,970,296,20,4110,47,164,461
"Census Tract 4415.03, Alameda County, California",5389,224,5165,5167,625,96,12,4347,12,75,222
"Census Tract 4415.21, Alameda County, California",5869,351,5518,5475,1215,191,15,3905,31,118,394
"Census Tract 4415.22, Alameda County, California",4980,692,4288,4672,1144,250,13,2880,32,353,308
"Census Tract 4415.23, Alameda County, California",4077,253,3824,3852,578,103,13,3045,22,91,225
"Census Tract 4415.24, Alameda County, California",4010,159,3851,3853,479,98,11,3183,6,76,157
"Census Tract 4416.01, Alameda County, California",4561,1097,3464,4221,2070,206,19,1449,23,454,340
"Census Tract 4416.02, Alameda County, California",6802,1680,5122,6300,2440,403,39,2476,73,869,502
"Census Tract 4417, Alameda County, California",7436,1708,5728,6880,2749,418,86,2856,73,698,556
"Census Tract 4418, Alameda County, California",6786,1072,5714,6397,2802,258,32,2839,35,431,389
"Census Tract 4419.21, Alameda County, California",3663,989,2674,3431,1410,143,22,1390,9,457,232
"Census Tract 4419.23, Alameda County, California",5605,953,4652,5260,1362,239,44,3028,35,552,345
"Census Tract 4419.24, Alameda County, California",7301,1003,6298,6871,2084,240,41,4083,24,399,430
"Census Tract 4419.25, Alameda County, California",6159,511,5648,5726,1562,276,26,3632,43,187,433
"Census Tract 4419.26, Alameda County, California",4080,1312,2768,3748,1243,202,44,1543,11,705,332
"Census Tract 4419.27, Alameda County, California",4103,484,3619,3845,982,233,7,2336,44,243,258
"Census Tract 4420, Alameda County, California",3212,115,3097,3077,786,21,1,2238,5,26,135
"Census Tract 4421, Alameda County, California",5166,141,5025,5038,1160,35,2,3811,3,27,128
"Census Tract 4422, Alameda County, California",6875,418,6457,6662,2049,98,16,4390,4,105,213
"Census Tract 4423.01, Alameda County, California",4388,868,3520,4157,1836,167,19,1748,37,350,231
"Census Tract 4423.02, Alameda County, California",4788,1016,3772,4436,1586,397,21,1898,51,483,352
"Census Tract 4424, Alameda County, California",6253,1798,4455,5903,2781,214,27,2053,51,777,350
"Census Tract 4425, Alameda County, California",7371,1747,5624,6898,2710,247,51,2917,66,907,473
"Census Tract 4426.01, Alameda County, California",3844,722,3122,3631,1961,67,15,1221,10,357,213
"Census Tract 4426.02, Alameda County, California",5074,1226,3848,4651,2453,245,43,1219,38,653,423
"Census Tract 4427, Alameda County, California",2873,484,2389,2692,1776,48,13,645,9,201,181
"Census Tract 4428, Alameda County, California",2816,670,2146,2617,1290,82,19,939,19,268,199
"Census Tract 4429, Alameda County, California",7194,1376,5818,6664,2957,241,36,2765,62,603,530
"Census Tract 4430.01, Alameda County, California",2917,1025,1892,2766,1203,94,19,904,8,538,151
"Census Tract 4430.02, Alameda County, California",5918,1366,4552,5573,2359,171,57,2416,34,536,345
"Census Tract 4431.02, Alameda County, California",4611,195,4416,4454,1083,28,8,3275,2,58,157
"Census Tract 4431.03, Alameda County, California",4029,97,3932,3919,574,32,1,3293,3,16,110
"Census Tract 4431.04, Alameda County, California",5558,293,5265,5343,1316,61,14,3877,6,69,215
"Census Tract 4431.05, Alameda County, California",4456,124,4332,4322,833,19,4,3421,4,41,134
